,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240,ismedoid_sp_10,ismedoid_sp_20,ismedoid_sp_30,ismedoid_sp_40,ismedoid_sp_50,ismedoid_sp_60,ismedoid_sp_70,ismedoid_sp_80,ismedoid_sp_90,ismedoid_sp_100,ismedoid_sp_120,ismedoid_sp_140,ismedoid_sp_160,ismedoid_sp_180,ismedoid_sp_200,ismedoid_sp_220,ismedoid_sp_240,ismedoid_st_10,ismedoid_st_20,ismedoid_st_30,ismedoid_st_40,ismedoid_st_50,ismedoid_st_60,ismedoid_st_70,ismedoid_st_80,ismedoid_st_90,ismedoid_st_100,ismedoid_st_120,ismedoid_st_140,ismedoid_st_160,ismedoid_st_180,ismedoid_st_200,ismedoid_st_220,ismedoid_st_240
ADBE,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,185.0,2,2,15,2,18,25,40,26,13,13,14,5,1,9,11,1,4,0,9,5,15,6,20,52,69,66,51,40,24,2,95,125,152,74,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
ADI,3.0,36.0,33.0,334.0,3344.0,45.0,4530.0,940.0,235.0,13,0,10,22,17,1,7,40,18,20,62,116,7,139,133,85,36,17,9,0,16,3,23,55,31,30,5,3,93,71,50,26,6,132,210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0
ADM,2.0,20.0,31.0,311.0,3112.0,30.0,3020.0,970.0,112.0,-1,5,2,4,20,27,5,19,2,1,5,1,0,4,150,102,53,8,4,2,13,20,10,36,5,71,56,45,29,26,5,150,120,79,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1
ADP,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,453.0,15,4,3,10,23,29,3,27,49,61,35,9,34,22,15,53,65,20,7,7,14,32,22,56,52,44,29,10,119,126,10,23,113,149,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
ADS,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,453.0,2,1,14,12,9,17,31,48,47,24,3,117,19,36,56,160,122,134,7,13,18,22,28,17,10,22,7,76,61,49,121,97,77,57,37,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
ADSK,7.0,73.0,51.0,519.0,5191.0,45.0,4510.0,940.0,185.0,2,1,9,29,27,10,43,51,79,63,89,106,63,17,126,78,29,205,2,16,10,29,18,22,55,47,32,85,69,47,26,2,27,216,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE,5.0,51.0,42.0,424.0,4247.0,10.0,1010.0,925.0,355.0,5,9,0,0,3,11,11,35,15,56,78,37,20,21,135,87,96,51,6,15,5,17,4,33,23,72,57,46,30,8,38,172,125,115,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
AEE,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,705.0,5,6,16,26,30,37,51,57,35,57,36,64,21,125,166,49,69,24,8,6,8,27,46,34,11,3,12,60,54,83,99,75,55,35,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEP,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,705.0,5,6,16,26,30,43,21,0,8,50,47,114,71,124,74,26,201,228,8,14,14,0,17,6,61,53,38,27,11,41,20,81,61,198,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,720.0,5,8,19,16,7,33,19,24,4,15,30,6,8,95,45,3,173,128,8,14,4,0,17,11,61,53,38,27,11,41,20,81,61,198,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AET,6.0,63.0,52.0,524.0,5241.0,35.0,3510.0,905.0,287.0,14,7,13,9,24,2,47,47,5,89,98,90,126,80,30,33,71,213,6,7,9,34,44,33,21,13,15,86,70,48,27,163,143,123,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AFL,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,800.0,825.0,4,1,12,11,37,15,27,37,68,45,24,59,16,47,172,124,75,185,7,13,18,39,28,17,67,59,44,83,67,45,43,19,164,144,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
AGN,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,905.0,283.0,10,2,15,2,18,25,40,26,13,13,14,5,1,9,11,1,4,0,2,16,10,29,18,22,55,47,32,85,69,47,26,2,27,216,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIG,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,800.0,830.0,4,3,12,11,37,15,27,25,28,0,97,91,56,119,131,83,34,195,7,7,22,12,2,49,37,15,0,91,109,87,33,9,174,154,134,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
AIV,6.0,67.0,53.0,531.0,5311.0,60.0,6010.0,800.0,850.0,26,3,6,5,8,20,48,46,24,74,53,98,105,59,9,77,28,52,7,7,22,12,2,49,37,29,14,92,76,100,79,118,175,155,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIZ,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,-1.0,-1.0,4,9,0,0,3,11,11,35,15,56,78,37,20,21,135,87,38,4,7,7,22,12,2,49,37,15,14,92,76,100,33,9,174,154,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJG,6.0,64.0,52.0,524.0,5242.0,40.0,4030.0,800.0,330.0,25,5,2,4,20,27,5,19,2,1,5,1,0,4,150,102,53,8,8,6,9,34,24,13,44,57,48,19,66,103,108,58,38,18,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKAM,7.0,73.0,51.0,519.0,5191.0,45.0,4510.0,940.0,185.0,2,8,19,16,7,33,19,24,4,15,30,6,8,95,45,3,173,128,9,12,20,10,0,47,35,27,76,42,117,95,74,50,30,10,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
AKS,3.0,33.0,33.0,331.0,3311.0,15.0,1510.0,970.0,460.0,11,1,11,21,33,35,54,53,25,68,42,107,64,122,72,24,7,11,6,8,17,7,30,50,27,49,34,65,49,27,6,177,130,100,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
ALB,2.0,28.0,32.0,325.0,3251.0,15.0,1510.0,970.0,167.0,15,2,15,2,18,25,40,26,13,13,14,5,1,9,11,1,4,0,2,4,6,9,7,41,29,21,6,98,113,91,70,46,26,6,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGN,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,4,3,10,23,29,3,27,29,37,16,102,30,35,152,81,190,61,9,12,20,10,0,47,35,27,83,72,115,93,72,111,91,71,51,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
ALK,4.0,45.0,48.0,481.0,4811.0,20.0,2030.0,600.0,605.0,9,8,19,24,21,42,36,41,19,30,29,82,128,70,20,20,21,239,7,7,22,4,15,4,57,29,14,92,76,100,79,118,175,155,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ALL,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,800.0,835.0,4,2,15,2,18,25,14,34,69,87,34,19,77,31,145,97,48,3,6,8,17,7,30,50,33,73,77,81,50,28,7,122,102,82,101,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
ALXN,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,905.0,147.0,10,5,2,4,20,27,5,19,2,1,5,1,0,4,150,102,53,8,9,0,20,10,0,47,35,27,76,42,15,106,145,161,90,112,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
AMAT,3.0,35.0,33.0,333.0,3332.0,45.0,4530.0,940.0,247.0,13,0,10,22,17,1,7,40,38,38,17,52,44,96,46,105,50,37,9,5,3,30,38,40,28,20,70,59,43,102,48,173,153,105,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
AMD,3.0,36.0,33.0,334.0,3344.0,45.0,4530.0,940.0,235.0,13,0,10,22,17,1,39,43,38,38,17,52,104,27,16,125,191,206,6,8,17,7,1,27,59,51,36,25,9,66,45,21,161,141,121,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
AME,3.0,38.0,33.0,334.0,3345.0,20.0,2010.0,925.0,355.0,15,4,3,10,23,29,3,27,49,61,35,9,34,22,15,53,65,20,1,4,6,9,7,41,29,21,6,98,113,91,87,63,43,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
AMG,6.0,62.0,52.0,523.0,5239.0,40.0,4020.0,800.0,823.0,25,1,9,7,37,15,10,30,51,28,7,17,99,53,3,90,162,117,3,19,11,1,36,2,13,77,62,51,35,85,142,144,141,189,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
AMGN,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,905.0,147.0,10,4,3,10,23,29,3,27,49,61,35,9,34,22,15,53,65,20,3,17,27,8,45,51,39,14,16,5,84,62,123,99,79,59,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0
AMP,6.0,62.0,52.0,523.0,5231.0,40.0,4020.0,-1.0,-1.0,4,8,19,16,7,33,19,24,4,15,30,6,8,95,45,3,173,128,7,13,18,39,28,17,67,59,44,83,67,45,151,127,107,87,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
AMT,6.0,67.0,53.0,531.0,5311.0,60.0,6010.0,974.0,463.0,8,9,0,18,11,19,50,29,7,85,19,40,55,37,14,9,197,152,1,9,24,31,21,19,4,37,67,56,107,79,62,116,157,175,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
AMZN,5.0,59.0,45.0,454.0,4541.0,25.0,2550.0,976.0,447.0,19,4,3,10,23,29,3,27,49,61,35,9,34,22,15,53,65,20,4,15,5,17,34,58,46,38,23,12,22,0,134,110,188,168,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
AN,5.0,55.0,44.0,441.0,4411.0,25.0,2550.0,976.0,449.0,18,7,18,14,25,28,58,59,58,83,40,42,35,157,107,59,10,5,4,15,5,17,34,58,46,38,23,12,22,13,37,69,117,182,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ANDV,2.0,29.0,32.0,324.0,3241.0,10.0,1010.0,935.0,390.0,5,1,9,7,2,12,33,12,52,71,58,108,67,75,25,34,176,131,4,15,5,17,34,58,46,38,50,20,94,138,117,93,73,53,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANF,5.0,56.0,44.0,448.0,4481.0,25.0,2550.0,976.0,452.0,22,2,15,2,18,25,40,26,13,13,14,5,1,9,11,1,4,0,5,3,23,13,47,35,7,19,81,17,86,128,124,100,80,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANSS,7.0,73.0,51.0,511.0,5112.0,45.0,4510.0,940.0,185.0,2,3,8,29,6,48,26,52,54,76,6,86,43,65,48,0,150,93,3,0,16,3,23,55,31,30,5,3,3,58,100,65,39,25,236,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1
ANTM,6.0,63.0,52.0,524.0,5241.0,35.0,3510.0,905.0,287.0,14,2,13,9,24,2,47,47,5,89,98,90,126,80,30,33,71,213,4,2,13,35,25,14,2,79,21,95,79,117,130,106,86,66,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
AON,6.0,64.0,52.0,524.0,5242.0,40.0,4030.0,800.0,330.0,4,5,2,4,20,27,5,19,2,1,5,1,0,4,150,102,53,8,8,6,14,27,14,43,53,43,28,94,78,134,35,138,118,98,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AOS,3.0,36.0,33.0,335.0,3352.0,20.0,2010.0,925.0,220.0,15,3,14,17,26,4,8,9,39,16,4,66,97,109,110,21,109,75,4,18,21,11,42,25,19,11,8,37,21,19,144,120,196,176,156,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APA,1.0,13.0,21.0,211.0,2111.0,10.0,1010.0,935.0,380.0,17,1,17,19,29,7,1,56,34,11,83,119,130,84,34,152,103,192,3,17,27,38,37,42,58,31,42,79,90,94,153,129,33,163,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
APC,1.0,13.0,21.0,211.0,2111.0,10.0,1010.0,935.0,380.0,5,1,17,28,34,5,1,56,34,11,68,63,45,144,116,68,19,203,4,4,29,19,9,9,54,46,85,74,58,36,15,159,139,88,68,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
APD,2.0,28.0,32.0,325.0,3251.0,15.0,1510.0,970.0,160.0,15,2,15,2,18,25,40,26,13,13,14,5,1,9,11,1,4,0,4,4,29,19,9,9,54,46,85,74,58,36,15,159,139,88,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
APH,3.0,36.0,33.0,334.0,3344.0,45.0,4520.0,925.0,220.0,13,1,9,17,9,34,55,44,56,33,12,115,66,20,89,121,58,220,2,16,10,28,18,7,64,56,41,30,96,120,116,25,190,170,150,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOL,8.0,82.0,61.0,611.0,6113.0,25.0,2530.0,976.0,175.0,14,5,2,4,20,27,5,19,2,1,5,1,0,4,150,102,53,8,1,9,28,18,49,54,42,34,3,8,82,116,141,117,97,77,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARE,6.0,67.0,53.0,531.0,5311.0,60.0,6010.0,800.0,850.0,26,3,6,5,8,20,48,46,24,74,53,98,105,59,9,77,28,52,3,17,27,8,45,26,39,65,58,39,14,7,159,135,115,95,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,5.0,50.0,42.0,423.0,4238.0,15.0,1510.0,970.0,160.0,19,2,15,2,18,25,40,26,13,13,14,5,1,9,11,1,4,0,4,15,9,33,19,8,3,70,68,38,23,81,65,14,189,195,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
ASH,2.0,28.0,32.0,325.0,3252.0,15.0,1510.0,935.0,382.0,15,1,11,21,33,21,15,8,61,86,95,54,11,0,163,180,217,172,4,18,21,11,42,31,32,64,8,6,31,92,89,49,171,151,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
AT,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,-1.0,-1.0,5,2,15,2,18,37,51,57,35,57,36,64,21,24,139,156,107,62,1,4,28,21,11,0,22,78,78,52,36,14,133,109,89,204,184,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ATI,3.0,33.0,33.0,331.0,3314.0,15.0,1510.0,970.0,460.0,11,1,11,21,33,35,54,53,25,68,42,107,64,122,72,101,140,194,4,2,13,20,10,36,5,71,56,45,29,26,5,102,82,62,152,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ATO,4.0,49.0,22.0,221.0,2212.0,55.0,5510.0,700.0,710.0,5,4,3,10,23,29,3,27,49,61,35,9,34,22,15,53,65,20,8,15,9,34,24,13,1,62,47,36,20,69,82,174,154,134,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATVI,7.0,73.0,51.0,511.0,5112.0,50.0,5020.0,-1.0,-1.0,3,5,2,4,20,27,5,19,2,1,5,1,0,4,150,16,127,214,9,12,20,10,40,29,17,9,74,63,47,25,4,160,140,120,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVB,6.0,67.0,53.0,531.0,5311.0,60.0,6010.0,800.0,850.0,26,3,6,5,8,20,48,46,24,74,53,98,105,59,9,77,28,52,1,9,19,26,16,54,42,34,54,8,13,5,11,4,160,140,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
AVGO,3.0,36.0,33.0,334.0,3344.0,45.0,4530.0,-1.0,-1.0,13,5,2,4,20,27,5,19,2,1,5,1,0,4,150,102,53,8,9,5,3,6,20,40,28,20,22,47,116,132,111,119,162,142,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
AVP,2.0,28.0,32.0,325.0,3256.0,30.0,3030.0,978.0,215.0,20,9,0,0,3,11,11,35,15,56,78,37,20,21,135,87,38,4,7,7,22,4,15,4,57,29,14,92,76,100,79,118,175,155,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVY,2.0,26.0,32.0,322.0,3222.0,15.0,1510.0,925.0,357.0,15,1,4,17,36,36,30,45,43,22,96,70,114,19,124,76,27,105,8,15,5,17,24,13,1,62,89,22,56,51,132,108,88,68,48,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
AWK,4.0,49.0,22.0,221.0,2213.0,55.0,5510.0,-1.0,-1.0,5,5,2,4,20,27,5,19,2,1,5,1,0,4,150,102,53,8,8,14,4,0,17,3,66,75,55,57,41,113,23,28,68,50,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AXP,6.0,61.0,52.0,522.0,5222.0,40.0,4020.0,800.0,850.0,4,2,12,11,37,32,22,20,78,52,86,105,62,16,119,71,22,32,7,13,18,22,28,17,67,59,44,83,67,45,151,127,107,87,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AYE,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,705.0,5,6,16,26,30,37,51,57,35,57,65,31,59,147,97,172,182,137,8,14,4,0,17,6,61,58,43,32,87,111,90,66,46,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
AYI,3.0,36.0,33.0,335.0,3351.0,20.0,2010.0,925.0,220.0,11,7,9,17,36,17,15,8,64,41,95,60,72,76,159,23,156,91,4,2,13,35,25,14,24,79,82,80,91,42,21,176,183,27,198,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AZO,5.0,55.0,44.0,441.0,4413.0,25.0,2550.0,976.0,449.0,6,5,2,4,20,27,5,19,2,1,5,1,0,4,150,102,53,8,7,13,18,39,29,18,14,6,63,70,95,135,96,133,3,91,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
BA,3.0,37.0,33.0,336.0,3364.0,20.0,2010.0,925.0,110.0,11,8,19,16,1,47,57,36,57,34,13,22,106,25,38,99,41,34,7,1,26,23,27,59,47,39,24,13,63,101,80,56,170,150,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
