,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240,ismedoid_sp_10,ismedoid_sp_20,ismedoid_sp_30,ismedoid_sp_40,ismedoid_sp_50,ismedoid_sp_60,ismedoid_sp_70,ismedoid_sp_80,ismedoid_sp_90,ismedoid_sp_100,ismedoid_sp_120,ismedoid_sp_140,ismedoid_sp_160,ismedoid_sp_180,ismedoid_sp_200,ismedoid_sp_220,ismedoid_sp_240,ismedoid_st_10,ismedoid_st_20,ismedoid_st_30,ismedoid_st_40,ismedoid_st_50,ismedoid_st_60,ismedoid_st_70,ismedoid_st_80,ismedoid_st_90,ismedoid_st_100,ismedoid_st_120,ismedoid_st_140,ismedoid_st_160,ismedoid_st_180,ismedoid_st_200,ismedoid_st_220,ismedoid_st_240
ASH,2.0,28.0,32.0,325.0,3252.0,15.0,1510.0,935.0,382.0,15,9,9,23,27,17,7,25,15,3,1,101,79,59,39,19,64,60,4,1,21,34,23,16,64,53,47,36,87,66,45,160,167,152,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATI,3.0,33.0,33.0,331.0,3314.0,15.0,1510.0,970.0,460.0,11,1,1,16,6,31,24,31,30,12,5,29,22,144,124,104,84,64,7,8,22,27,37,38,24,56,44,33,10,114,143,117,94,79,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
ATO,4.0,49.0,22.0,221.0,2212.0,55.0,5510.0,700.0,710.0,5,7,12,2,35,43,35,7,52,52,40,20,119,128,17,164,144,238,2,6,17,20,33,24,10,29,84,73,66,72,8,140,162,147,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
AVB,6.0,67.0,53.0,531.0,5311.0,60.0,6010.0,800.0,850.0,26,8,16,21,30,20,10,0,59,76,72,84,62,42,43,2,3,226,9,9,13,3,16,8,22,11,4,19,73,51,99,119,142,131,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVP,2.0,28.0,32.0,325.0,3256.0,30.0,3030.0,978.0,215.0,20,2,8,12,22,38,20,28,72,81,71,50,96,38,98,152,65,197,5,15,5,12,38,50,58,47,13,24,1,69,155,150,95,157,174,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVY,2.0,26.0,32.0,322.0,3222.0,15.0,1510.0,925.0,357.0,15,7,13,3,1,22,50,12,18,7,3,24,9,9,8,6,1,1,2,6,17,20,33,24,45,69,57,46,66,72,120,140,106,202,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
AW,4.0,49.0,56.0,562.0,5621.0,20.0,2020.0,925.0,405.0,5,9,14,17,25,46,36,26,16,4,95,38,57,62,57,29,17,17,3,14,6,14,3,37,68,40,83,72,49,28,7,41,18,3,156,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AXP,6.0,61.0,52.0,522.0,5222.0,40.0,4020.0,800.0,850.0,8,0,3,15,18,39,57,47,63,51,96,47,131,111,70,50,30,229,5,15,7,28,14,9,60,49,37,26,115,87,66,40,74,47,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
AYE,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,705.0,5,3,19,9,39,29,19,63,53,41,27,92,112,37,30,67,50,124,3,14,4,16,5,45,51,64,52,17,118,0,76,50,27,12,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
AYI,3.0,36.0,33.0,335.0,3351.0,20.0,2010.0,925.0,220.0,11,9,9,23,27,17,7,25,15,65,90,108,86,66,46,26,6,180,0,7,18,23,12,3,16,71,46,76,119,98,77,137,28,13,105,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
