,tic,cluster_label
401,JAVA,2
402,UIS,2
403,PRGO,20
404,BOL,21
405,COO,14
406,STJ,10
407,MMM,11
408,RMD,10
409,ABMD,10
410,BSX,10
411,MAS,18
412,IR,11
413,AOS,18
414,GM,18
415,HOG,18
416,AAPL,2
417,VNO,26
418,SPG,26
419,MAC,26
420,STE,10
421,DE,18
422,BCR,10
423,GD,11
424,POOL,11
425,CSCO,2
426,PMCS,13
427,LUMN,8
428,CPRT,9
429,MRK,10
430,FRX,10
431,JNJ,10
432,PFE,10
433,BMY,20
434,SGP,20
435,AET,4
436,AIG,4
437,CI,4
438,C,4
439,JEF,4
440,LNC,4
441,PGR,4
442,MBI,4
443,WRB,4
444,CINF,4
445,CB,4
446,ALL,4
447,RE,4
448,HIG,4
449,L,4
450,AON,4
451,AJG,14
452,NWL,22
453,URBN,6
454,LB,22
455,FL,22
456,M,22
457,PLD,26
458,XRAY,10
459,PDCO,24
460,IEX,15
461,TYC,15
462,LIN,15
463,ARG,11
464,ROP,15
465,FLS,15
466,KMB,20
467,GWW,24
468,UNH,14
469,CVH,14
470,HUM,14
471,TXN,13
472,HSIC,24
473,FITB,4
474,SNV,4
475,TFC,4
476,GPC,18
477,AZO,6
478,ORLY,6
479,IBM,15
480,LMT,13
481,J,19
482,CLF,17
483,DDS,19
484,JKHY,2
