gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,at,dltt,dv,ebit,lt,sale,costat
001078,20051231,2005,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,11386.0280,29141.2030,4571.5040,1686.4720,4835.3990,14725.9320,22287.8080,A
001078,20061231,2006,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,11281.8830,36178.1720,7009.6640,1777.1700,4860.2190,22123.9860,22476.3220,A
001078,20071231,2007,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,14042.7330,39713.9240,9487.7890,1959.1500,5523.5450,21935.3840,25914.2380,A
001078,20081231,2008,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,17042.5590,42419.2040,8713.3270,2174.2520,6477.0950,24939.6530,29527.5520,A
001078,20091231,2009,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,23313.8910,52416.6230,11266.2940,2414.4600,6903.7410,29517.8940,30764.7070,A
001078,20101231,2010,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,22317.5290,59462.2660,12523.5170,2671.4750,8038.7810,36985.8020,35166.7210,A
001078,20111231,2011,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,23768.7740,60276.8930,12039.8220,2938.0960,8996.4480,35750.7480,38851.2590,A
001078,20121231,2012,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,31322.5830,67234.9440,18085.3020,3182.8110,9783.5150,40421.7120,39873.9100,A
001078,20131231,2013,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,19247.0000,42953.0000,3388.0000,882.0000,2674.0000,17686.0000,21848.0000,A
001078,20141231,2014,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,15261.0000,41275.0000,3408.0000,1342.0000,2927.0000,19636.0000,20247.0000,A
001078,20151231,2015,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,14155.0000,41247.0000,5871.0000,1443.0000,3372.0000,19921.0000,20405.0000,A
001078,20161231,2016,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,26776.0000,52666.0000,20681.0000,1539.0000,3622.0000,31949.0000,20853.0000,A
001078,20171231,2017,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,20147.0000,76250.0000,27210.0000,1849.0000,3996.0000,45152.0000,27390.0000,A
001078,20181231,2018,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,14632.0000,67173.0000,19359.0000,1974.0000,4284.0000,36451.0000,30578.0000,A
001078,20191231,2019,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,15667.0000,67887.0000,17416.0000,2270.0000,5041.0000,36586.0000,31904.0000,A
001078,20201231,2020,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,20441.0000,72548.0000,19429.0000,2560.0000,5785.0000,39545.0000,34608.0000,A
001121,20001231,2000,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,420.3490,448.0440,11.9000,0.5480,12.8610,403.7310,7022.1600,A
001121,20011231,2001,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,199.3050,227.0270,11.4750,0.5480,-12.5100,187.8310,4717.2420,A
001121,20021231,2002,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,179.0540,202.1200,11.4750,0.5480,2.2220,162.0200,2323.3170,A
001121,20031231,2003,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,185.6510,210.2610,11.4750,0.9700,9.2280,168.0290,1721.9290,A
001121,20041231,2004,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,209.3390,238.8540,11.4750,1.2650,13.9650,189.2790,2069.7880,A
001121,20051231,2005,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,270.4500,312.6620,11.4750,1.5600,19.0110,247.0060,2364.8330,A
001121,20061231,2006,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,241.7900,289.2870,3.0000,1.7710,14.9670,214.9190,2246.6030,A
001121,20071231,2007,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,311.8930,357.0750,0.0000,1.9820,11.8290,267.6330,2636.2220,A
001121,20081231,2008,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,169.3660,210.9260,0.0000,2.1090,-11.4740,129.1650,4159.6720,A
001121,20091231,2009,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,202.5630,249.4010,0.0000,2.1090,6.4010,165.6000,1943.1280,A
001121,20101231,2010,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,246.9760,301.3050,0.0000,2.2770,12.5460,211.1500,2211.9700,A
001121,20111231,2011,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,304.9650,378.8400,0.0000,2.4040,32.6100,268.1580,3214.3990,A
001121,20121231,2012,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,324.5560,419.5010,0.0000,2.6150,41.8460,283.6430,3380.9640,A
001121,20131231,2013,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,351.7300,448.0820,0.0000,2.7830,34.3760,293.3970,3945.9690,A
001121,20141231,2014,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,250.9450,340.8140,0.0000,3.7110,6.9530,183.3170,4132.8260,A
001121,20151231,2015,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,176.5370,243.2150,0.0000,3.7120,-2.3590,90.7050,1944.2790,A
